timestamp,dist_to_goal,bearing_error,min_obstacle_dist,v_cmd,w_cmd,is_tracking,is_visible,goal_reached
1768074581.3854315,0.3787520503902335,-0.12353973506976912,1.2425426,0.1607142857142857,-0.10588235294117643,1,1,0
1768074581.897002,0.4570622883668078,-0.012003183657981253,1.3273264,0.19642857142857142,0.0,1,1,0
1768074582.404199,0.3421032047197708,0.09906707510106005,1.4271315,0.08928571428571427,0.07058823529411762,1,1,0
1768074582.8837054,0.45678852315084373,0.1468282856107166,1.4864962,0.125,0.10588235294117643,1,1,0
1768074583.3901393,0.3749757037043314,0.1799700868773677,1.4455057,0.125,0.14117647058823535,1,1,0
1768074583.8788621,0.5367521351861563,0.1105024336025262,1.3802254,0.23214285714285712,0.10588235294117643,1,1,0
1768074584.358358,0.47759808240183466,0.06581273014857958,1.3542104,0.23214285714285712,0.07058823529411762,1,1,0
1768074584.8870387,0.617332270483491,-0.031217589285586822,1.3135027,0.25,-0.03529411764705881,1,1,0
1768074585.4304216,0.4992920382777113,-0.09368454897811906,1.3015035,0.23214285714285712,-0.10588235294117643,1,1,0
1768074585.9326258,0.5920691902242358,-0.1751940439175299,1.2655281,0.25,-0.1764705882352941,1,1,0
1768074586.4711385,0.4699376772416048,-0.18917163892977684,1.2361618,0.19642857142857142,-0.1764705882352941,1,1,0
1768074586.9927976,0.5599629324175388,-0.16790829685472874,1.1960753,0.25,-0.1764705882352941,1,1,0
1768074587.505937,0.44222645658440235,-0.11259739953643111,1.1018456,0.19642857142857142,-0.10588235294117643,1,1,0
1768074588.0478835,0.5541765857743864,-0.02903235680189975,1.051001,0.25,-0.03529411764705881,1,1,0
1768074588.499977,0.42833784630440574,0.05838449996680839,0.98918027,0.19642857142857142,0.07058823529411762,1,1,0
1768074589.042495,0.5676419502648647,0.11008340047879805,0.9469657,0.25,0.10588235294117643,1,1,0
1768074589.5286362,0.4429704670322645,0.14069511499524223,0.9097414,0.19642857142857142,0.14117647058823535,1,1,0
1768074590.0497713,0.5679979377620407,0.09135434978550805,0.9225909,0.23214285714285712,0.07058823529411762,1,1,0
1768074590.5345488,0.4427078642138944,0.04509027138417432,0.9404738,0.19642857142857142,0.03529411764705881,1,1,0
1768074590.997865,0.5782050654138009,-0.06545528655697708,0.97552764,0.25,-0.07058823529411762,1,1,0
1768074591.4441557,0.47972522394060824,-0.11377286825438548,1.0140544,0.21428571428571427,-0.10588235294117643,1,1,0
1768074589.579175,0.6172328211594811,-0.18358600912849088,1.0574609,0.25,-0.1764705882352941,1,1,0
1768074591.9793358,0.6737124379677881,-0.18596288047944265,1.3313103,0.25,-0.1411764705882353,0,0,0
1768074592.410917,0.6737124379677881,-0.18596288047944265,1.3313103,0.25,-0.1411764705882353,0,0,0
1768074592.8329656,0.6737124379677881,-0.18596288047944265,1.3313103,0.25,-0.1411764705882353,0,0,0
1768074593.2551267,0.66654554695567,-0.18433151330742858,1.3313103,0.25,-0.1411764705882353,0,0,0
1768074593.7110302,0.658211090313943,-0.18275869919590004,1.3313103,0.25,-0.1411764705882353,0,0,0
1768074594.1514347,0.6498453966609468,-0.1815711083519005,1.3313103,0.25,-0.1411764705882353,0,0,0
1768074594.5670276,0.6414767444649714,-0.17988008297545943,1.3313103,0.25,-0.1411764705882353,0,0,0
1768074594.9776208,0.624725063961855,-0.17399884326471904,1.3613186,0.25,-0.1411764705882353,0,0,0
1768074595.4609234,0.5239218799017961,-0.14470952402763837,1.3954644,0.23214285714285712,-0.1411764705882353,0,0,0
1768074596.017619,0.405775395537585,-0.10986467163168023,1.4261105,0.17857142857142855,-0.10588235294117643,0,0,0
1768074596.5605385,0.44490946513193796,-0.07229297555182312,1.4827784,0.19642857142857142,-0.07058823529411762,1,1,0
1768074597.0483487,0.32891766657741095,-0.018073789470965274,1.5062568,0.125,0.0,1,1,0
1768074597.5414271,0.41228067467849555,-0.0020443917035479764,1.5497377,0.19642857142857142,0.0,1,1,0
1768074597.990009,0.5095445176155393,-0.009896147126116528,1.5469723,0.21428571428571427,0.0,1,1,0
1768074598.4694304,0.44152210791365776,-0.008665759415224406,1.5325606,0.19642857142857142,0.0,1,1,0
1768074599.0058243,0.3456503284392999,-0.011477193728384405,1.5284249,0.14285714285714285,0.0,1,1,0
1768074599.503629,0.42174112909547445,-0.0668075728376265,1.5269297,0.19642857142857142,-0.07058823529411762,1,1,0
1768074599.962788,0.3303073417645147,-0.08436332015646264,1.5229596,0.125,-0.07058823529411762,1,1,0
1768074600.4153192,0.45054821404914186,-0.13010838766990251,1.5413707,0.21428571428571427,-0.1411764705882353,1,1,0
1768074600.912218,0.3659730126682891,-0.12108826185692045,1.5441908,0.14285714285714285,-0.10588235294117643,1,1,0
1768074601.4630373,0.49316405909266503,-0.11124078241945035,1.5427235,0.21428571428571427,-0.10588235294117643,1,1,0
1768074601.9143808,0.3900277087777839,-0.05884634921971332,1.5539601,0.17857142857142855,-0.07058823529411762,1,1,0
1768074602.3834245,0.5165841856631873,-0.015399443964819515,1.5592946,0.21428571428571427,0.0,1,1,0
1768074602.8799665,0.4193351942142345,0.03411764368879644,1.5679643,0.19642857142857142,0.03529411764705881,1,1,0
1768074603.3517842,0.5272720354769638,0.0671238209926619,1.5808053,0.25,0.07058823529411762,1,1,0
1768074603.8349113,0.4346381363842715,0.07905785684203015,1.5888153,0.17857142857142855,0.07058823529411762,1,1,0
1768074604.345274,0.5254379887255692,0.060295611697446905,1.6131258,0.25,0.07058823529411762,1,1,0
1768074604.790167,0.41495253785106584,0.03903207892023297,1.6443579,0.17857142857142855,0.03529411764705881,1,1,0
1768074605.2685287,0.5274270437775386,-0.0024185538791843264,1.6777998,0.25,0.0,1,1,0
1768074605.7465463,0.4253108301253264,-0.036363071725534324,1.7152599,0.19642857142857142,-0.03529411764705881,1,1,0
1768074606.241683,0.530061086863394,-0.0596379741161861,1.7474052,0.25,-0.07058823529411762,1,1,0
1768074606.7486246,0.4113322514241239,-0.07112718994461709,1.7819327,0.17857142857142855,-0.07058823529411762,1,1,0
1768074607.2219074,0.49867841357420983,-0.03901992863964465,1.8255957,0.23214285714285712,-0.03529411764705881,1,1,0
1768074607.7304673,0.38797466349739557,-0.012548149073075665,1.8481194,0.1607142857142857,0.0,1,1,0
1768074608.1717408,0.49565446696956433,0.05770422960571642,1.8988972,0.23214285714285712,0.07058823529411762,1,1,0
1768074608.5908344,0.39915672393881296,0.08845332142225026,1.9645358,0.1607142857142857,0.07058823529411762,1,1,0
1768074609.0616295,0.5122588332003198,0.1368441919793828,2.0078893,0.23214285714285712,0.14117647058823535,1,1,0
1768074609.5232139,0.41664257780359054,0.13500685658781442,2.0510695,0.19642857142857142,0.14117647058823535,1,1,0
1768074609.9696746,0.33259851913521155,0.12832309907431294,2.0326214,0.1607142857142857,0.14117647058823535,1,1,0
1768074610.4293883,0.4275691445746335,0.1139869751902074,2.0157127,0.17857142857142855,0.10588235294117643,1,1,0
1768074610.8861818,0.34489459753390056,0.0733802419685552,1.9872218,0.14285714285714285,0.07058823529411762,1,1,0
1768074611.355441,0.4495706519251427,0.04802452517852296,1.9571601,0.17857142857142855,0.03529411764705881,1,1,0
1768074611.794851,0.36949039427537533,0.007841223085789828,1.9483474,0.1607142857142857,0.0,1,1,0
1768074612.24838,0.48931979438602896,0.022750975974380472,1.933883,0.21428571428571427,0.03529411764705881,1,1,0
1768074612.7040598,0.40681603547121875,0.015525909480166966,1.9145491,0.1607142857142857,0.0,1,1,0
1768074613.1492755,0.5158876551819459,0.081350363463915,1.914596,0.21428571428571427,0.07058823529411762,1,1,0
1768074613.5871298,0.42627431685605716,0.08154683288298736,1.9053643,0.17857142857142855,0.07058823529411762,1,1,0
1768074614.1022024,0.5302839118174595,0.16491665045907955,1.9148908,0.25,0.17647058823529416,1,1,0
1768074614.666584,0.4284302760902855,0.16211617951830903,1.9134264,0.17857142857142855,0.14117647058823535,1,1,0
1768074615.2184546,0.31127021260495014,0.15282864893043713,1.9154232,0.125,0.14117647058823535,0,0,0
1768074615.8115098,0.3562026532123472,0.17677398573661995,1.9219383,0.1607142857142857,0.17647058823529416,1,1,0
